"wid","agegroup","gender","hand","thirdgrade_usa","thirdgrade_usa_region","s1_dae","s1_time","s2_dae","s2_time","s3_dae","s3_time","db_version"
"0682","18-24","Female","Right","TRUE","NA","0","Late morning (9:30am-12:00pm)","34","Late morning (9:30am-12:00pm)","102","Early evening (5pm-7:30pm)","version5"
"0569","25-40","Female","Right","TRUE","South","0","Early afternoon (12:00pm-2:30pm)","26","Early evening (5pm-7:30pm)","75","Late morning (9:30am-12:00pm)","version5"
"0249","25-40","Female","Right","TRUE","Midwest","0","Late Afternoon","21","Late Afternoon","135","Early Evening","version5"
"0600","41-60","Female","Right","TRUE","Midwest","0","Early evening (5pm-7:30pm)","35","Late evening (later than 7:30pm)","62","Early morning (earlier than 9:30am)","version5"
"0673","18-24","Female","Right","FALSE","NA","0","Late morning (9:30am-12:00pm)","24","Late afternoon (2:30pm-5pm)","49","Late evening (later than 7:30pm)","version5"
"0477","25-40","Female","Right","TRUE","Midwest","0","Early afternoon (12:00pm-2:30pm)","50","Late evening (later than 7:30pm)","88","Early afternoon (12:00pm-2:30pm)","version5"
"0613","18-24","Female","Right","FALSE","NA","0","Late morning (9:30am-12:00pm)","39","Late morning (9:30am-12:00pm)","163","Late afternoon (2:30pm-5pm)","version5"
"0224","41-60","Female","Right","TRUE","Midwest","0","Early Evening","31","Early Evening","54","Late Morning","version5"
"0720","18-24","Female","Right","TRUE","Midwest","0","Late afternoon (2:30pm-5pm)","31","Early evening (5pm-7:30pm)","64","Late morning (9:30am-12:00pm)","version5"
"0523","18-24","Female","Right","TRUE","Midwest","0","Early Evening","26","Late Evening","50","Late Afternoon","version5"
"0416","18-24","Female","Right","TRUE","NA","0","Early Evening","19","Early Afternoon","46","Early Afternoon","version5"
"0119","25-40","Female","Right","TRUE","Midwest","0","Early Afternoon","34","Late Morning","71","Early Morning","version5"
"0698","41-60","Female","Right","TRUE","Midwest","0","Early afternoon (12:00pm-2:30pm)","22","Early evening (5pm-7:30pm)","48","Late evening (later than 7:30pm)","version5"
"0139","61+","male","right","TRUE","west","0","lateafternoon","41","earlymorning","80","lateafternoon","version5"
